service_id,thematiques
fa4f4b88-c0cd-4e50-a775-786b4bcf09a9,"mobilite--etre-accompagne-dans-son-parcours-mobilite
mobilite--financer-ma-mobilite"
8e6a5dd3-8fcf-4626-aa7e-a682534f7c33,"mobilite--etre-accompagne-dans-son-parcours-mobilite
choisir-un-metier--confirmer-son-choix-de-metier
choisir-un-metier--decouvrir-un-metier-ou-un-secteur-dactivite
preparer-sa-candidature--organiser-ses-demarches-de-recherche-demploi
trouver-un-emploi--convaincre-un-recruteur-en-entretien"
83f0c7e8-2001-46a7-b7f2-7b5dffb271a7,"mobilite--etre-accompagne-dans-son-parcours-mobilite
preparer-sa-candidature--organiser-ses-demarches-de-recherche-demploi"
fc8f3ed6-8a5c-4f50-8ecb-b93ffd8372f0,"mobilite--etre-accompagne-dans-son-parcours-mobilite
preparer-sa-candidature--valoriser-ses-competences
remobilisation--bien-etre-confiance-en-soi
se-former--trouver-sa-formation
preparer-sa-candidature--realiser-un-cv-et-ou-une-lettre-de-motivation
trouver-un-emploi--convaincre-un-recruteur-en-entretien"
83c3a217-f838-46c0-847e-1de29b5e8f4d,"preparer-sa-candidature--organiser-ses-demarches-de-recherche-demploi
preparer-sa-candidature--realiser-un-cv-et-ou-une-lettre-de-motivation
trouver-un-emploi--convaincre-un-recruteur-en-entretien
trouver-un-emploi--repondre-a-des-offres-demploi
choisir-un-metier--connaitre-les-opportunites-demploi
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
preparer-sa-candidature--valoriser-ses-competences
choisir-un-metier--confirmer-son-choix-de-metier
remobilisation--bien-etre-confiance-en-soi"
f38a8885-9bb0-48ed-9ba7-ea4f58302142,"trouver-un-emploi--maintien-dans-lemploi
choisir-un-metier--confirmer-son-choix-de-metier
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
preparer-sa-candidature--valoriser-ses-competences
lecture-ecriture-calcul--maitriser-le-francais"
7c94eb94-b8b1-4b2e-a502-3edf9981e589,"choisir-un-metier--confirmer-son-choix-de-metier
trouver-un-emploi--maintien-dans-lemploi
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
preparer-sa-candidature--valoriser-ses-competences
lecture-ecriture-calcul--maitriser-le-francais"
ae1a4150-fd77-4f2d-87cb-f50ccc9f1266,"trouver-un-emploi--maintien-dans-lemploi
remobilisation--bien-etre-confiance-en-soi
preparer-sa-candidature--organiser-ses-demarches-de-recherche-demploi
difficultes-administratives-ou-juridiques--accompagnement-aux-demarches-administratives
difficultes-administratives-ou-juridiques--accompagnement-pour-lacces-aux-droits
preparer-sa-candidature--valoriser-ses-competences
trouver-un-emploi--repondre-a-des-offres-demploi
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
se-former--trouver-sa-formation"
a00cc0d2-849a-44c0-a492-02edd9688f27,"lecture-ecriture-calcul--maitriser-le-francais
se-former--trouver-sa-formation
choisir-un-metier--decouvrir-un-metier-ou-un-secteur-dactivite
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
preparer-sa-candidature--valoriser-ses-competences
choisir-un-metier--confirmer-son-choix-de-metier
remobilisation--bien-etre-confiance-en-soi
trouver-un-emploi--maintien-dans-lemploi"
3756921a-a19c-438f-97f3-5e71cc630a23,"lecture-ecriture-calcul--maitriser-le-francais
choisir-un-metier--decouvrir-un-metier-ou-un-secteur-dactivite
se-former--trouver-sa-formation
choisir-un-metier--connaitre-les-opportunites-demploi
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
preparer-sa-candidature--valoriser-ses-competences
remobilisation--bien-etre-confiance-en-soi
trouver-un-emploi--maintien-dans-lemploi
choisir-un-metier--confirmer-son-choix-de-metier
difficultes-administratives-ou-juridiques--accompagnement-aux-demarches-administratives
remobilisation--lien-social"
