service_id,thematiques
3a19fa30-e175-4ed2-81c7-7fca6ec4a649,"trouver-un-emploi--maintien-dans-lemploi
difficultes-administratives-ou-juridiques--accompagnement-aux-demarches-administratives
preparer-sa-candidature--valoriser-ses-competences
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
remobilisation--bien-etre-confiance-en-soi"
7e1d7340-8a92-4a3a-85d6-ad69a427af48,"mobilite--etre-accompagne-dans-son-parcours-mobilite
remobilisation--lien-social
mobilite--preparer-un-permis"
337884d4-bda2-426a-907b-992bf6591837,"se-former--trouver-sa-formation
trouver-un-emploi--maintien-dans-lemploi
preparer-sa-candidature--valoriser-ses-competences
sante--constituer-un-dossier-mdph-invalidite"
a5db5915-598c-4a9d-9c1c-dd9caf9a4bf3,"se-former--trouver-sa-formation
trouver-un-emploi--maintien-dans-lemploi
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
preparer-sa-candidature--valoriser-ses-competences
choisir-un-metier--confirmer-son-choix-de-metier
se-former--monter-son-dossier-de-formation"
1ca002c2-b248-4dde-8f87-68857e975356,"remobilisation--bien-etre-confiance-en-soi
trouver-un-emploi--maintien-dans-lemploi
difficultes-administratives-ou-juridiques--beneficier-dune-mesure-daccompagnement-adapte
se-former--trouver-sa-formation"
9f5b6e46-1d44-43ef-bd34-a1372ac61db1,"trouver-un-emploi--maintien-dans-lemploi
choisir-un-metier--connaitre-les-opportunites-demploi
preparer-sa-candidature--organiser-ses-demarches-de-recherche-demploi
choisir-un-metier--decouvrir-un-metier-ou-un-secteur-dactivite
preparer-sa-candidature--valoriser-ses-competences
trouver-un-emploi--repondre-a-des-offres-demploi
choisir-un-metier--confirmer-son-choix-de-metier
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
trouver-un-emploi--convaincre-un-recruteur-en-entretien"
9f395351-b049-46e4-827b-2b77d03e2729,"trouver-un-emploi--maintien-dans-lemploi
choisir-un-metier--decouvrir-un-metier-ou-un-secteur-dactivite
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
preparer-sa-candidature--valoriser-ses-competences
choisir-un-metier--confirmer-son-choix-de-metier"
fff16b52-17a7-400b-ac2a-01f3c6378c96,"trouver-un-emploi--maintien-dans-lemploi
preparer-sa-candidature--valoriser-ses-competences
choisir-un-metier--confirmer-son-choix-de-metier
choisir-un-metier--decouvrir-un-metier-ou-un-secteur-dactivite"
00e0dca8-acdb-4540-8b7d-27bd7c1f19af,"souvrir-a-linternational--connaitre-les-opportunites-demploi-a-letranger
souvrir-a-linternational--sinformer-sur-les-aides-pour-travailler-a-letranger"
df31eb3a-32e5-4795-a7d7-6b454ab3142e,remobilisation--lien-social
0a663597-d299-41e3-b0e4-02db55f1a51e,"choisir-un-metier--confirmer-son-choix-de-metier
remobilisation--bien-etre-confiance-en-soi
choisir-un-metier--decouvrir-un-metier-ou-un-secteur-dactivite
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
preparer-sa-candidature--valoriser-ses-competences"
9ac54985-44d6-4e29-8cb9-d59938e98231,"lecture-ecriture-calcul--maitriser-le-francais
trouver-un-emploi--maintien-dans-lemploi
remobilisation--bien-etre-confiance-en-soi
preparer-sa-candidature--valoriser-ses-competences
trouver-un-emploi--convaincre-un-recruteur-en-entretien
numerique--maitriser-les-fondamentaux-du-numerique"
c355fa2a-fa50-4cd8-ba62-f431f03bcd05,"choisir-un-metier--confirmer-son-choix-de-metier
choisir-un-metier--decouvrir-un-metier-ou-un-secteur-dactivite
se-former--trouver-sa-formation
trouver-un-emploi--maintien-dans-lemploi
choisir-un-metier--connaitre-les-opportunites-demploi
choisir-un-metier--identifier-ses-points-forts-et-ses-competences
preparer-sa-candidature--valoriser-ses-competences"
e9879e6d-4acb-4dfc-af4d-662934e32b5a,"choisir-un-metier--identifier-ses-points-forts-et-ses-competences
preparer-sa-candidature--valoriser-ses-competences
remobilisation--bien-etre-confiance-en-soi
remobilisation--lien-social"
